group85,n,D_indep,n_indep,share_indep,HHi
1,6,False,0,0.0,0.22222222222222227
2,7,True,2,0.2857142857142857,0.26530612244897955
3,1,False,0,0.0,1.0
4,2,False,0,0.0,0.5
5,8,True,1,0.125,0.1875
6,5,True,1,0.2,0.3600000000000001
7,15,True,4,0.26666666666666666,0.12000000000000001
8,3,False,0,0.0,0.3333333333333333
9,3,True,1,0.3333333333333333,0.3333333333333333
10,4,False,0,0.0,0.625
11,2,False,0,0.0,0.5
12,4,True,1,0.25,0.375
13,5,False,0,0.0,0.44
14,8,True,4,0.5,0.15625
15,2,True,2,1.0,0.5
16,3,False,0,0.0,0.5555555555555556
17,1,False,0,0.0,1.0
18,8,True,4,0.5,0.1875
19,2,True,1,0.5,0.5
20,4,True,1,0.25,0.25
21,4,True,1,0.25,0.25
22,2,True,1,0.5,0.5
23,3,False,0,0.0,0.3333333333333333
24,3,False,0,0.0,0.5555555555555556
25,7,True,5,0.7142857142857143,0.22448979591836732
26,7,True,3,0.42857142857142855,0.26530612244897955
27,2,True,2,1.0,0.5
28,2,True,1,0.5,0.5
29,3,True,2,0.6666666666666666,0.3333333333333333
30,2,True,2,1.0,1.0
31,3,True,1,0.3333333333333333,0.3333333333333333
32,4,True,4,1.0,0.5
33,2,True,1,0.5,0.5
34,4,False,0,0.0,0.375
35,5,False,0,0.0,0.28
36,2,True,1,0.5,0.5
37,1,True,1,1.0,1.0
38,4,True,1,0.25,0.375
39,5,True,3,0.6,0.28
40,11,True,4,0.36363636363636365,0.12396694214876033
41,9,True,5,0.5555555555555556,0.1111111111111111
42,3,True,1,0.3333333333333333,0.3333333333333333
43,8,True,7,0.875,0.3125
44,11,True,7,0.6363636363636364,0.12396694214876033
45,11,True,4,0.36363636363636365,0.14049586776859505
46,6,True,3,0.5,0.16666666666666669
47,5,True,2,0.4,0.28
48,2,True,2,1.0,0.5
49,4,True,1,0.25,0.375
50,3,True,1,0.3333333333333333,0.3333333333333333
51,11,True,8,0.7272727272727273,0.15702479338842973
52,5,True,2,0.4,0.28
53,6,True,4,0.6666666666666666,0.16666666666666669
54,4,True,3,0.75,0.25
55,5,True,3,0.6,0.20000000000000004
56,6,True,5,0.8333333333333334,0.2222222222222222
57,5,True,2,0.4,0.20000000000000004
58,6,True,2,0.3333333333333333,0.16666666666666669
59,3,True,2,0.6666666666666666,0.3333333333333333
60,4,True,1,0.25,0.25
61,5,True,3,0.6,0.28
62,3,True,1,0.3333333333333333,0.3333333333333333
63,6,True,3,0.5,0.16666666666666669
64,5,True,1,0.2,0.28
65,3,False,0,0.0,0.3333333333333333
66,2,False,0,0.0,0.5
67,4,True,1,0.25,0.25
68,2,True,1,0.5,0.5
69,9,True,2,0.2222222222222222,0.16049382716049382
70,6,True,4,0.6666666666666666,0.5555555555555556
71,5,True,1,0.2,0.20000000000000004
72,2,True,2,1.0,0.5
73,4,True,1,0.25,0.375
74,7,True,1,0.14285714285714285,0.3061224489795918
75,2,True,1,0.5,0.5
76,5,True,2,0.4,0.20000000000000004
77,4,True,2,0.5,0.25
78,15,True,5,0.3333333333333333,0.12888888888888891
79,6,False,0,0.0,0.2222222222222222
80,2,True,1,0.5,0.5
81,3,True,1,0.3333333333333333,0.3333333333333333
82,3,True,2,0.6666666666666666,0.3333333333333333
83,4,True,2,0.5,0.375
84,5,True,1,0.2,0.20000000000000004
85,7,True,2,0.2857142857142857,0.18367346938775508
86,4,True,2,0.5,0.5
87,1,False,0,0.0,1.0
88,6,True,2,0.3333333333333333,0.22222222222222227
89,6,True,1,0.16666666666666666,0.22222222222222227
90,4,True,1,0.25,0.375
91,6,True,2,0.3333333333333333,0.33333333333333337
92,6,True,4,0.6666666666666666,0.16666666666666669
93,5,False,0,0.0,0.20000000000000004
94,3,False,0,0.0,0.3333333333333333
95,4,True,2,0.5,0.25
96,2,True,1,0.5,0.5
97,5,False,0,0.0,0.20000000000000004
98,13,True,1,0.07692307692307693,0.3254437869822485
99,2,True,2,1.0,1.0
100,3,True,2,0.6666666666666666,0.3333333333333333
101,4,True,1,0.25,0.25
102,4,True,2,0.5,0.25
103,3,True,1,0.3333333333333333,0.3333333333333333
104,8,False,0,0.0,0.1875
105,2,True,1,0.5,0.5
106,5,True,3,0.6,0.20000000000000004
107,9,True,4,0.4444444444444444,0.16049382716049382
108,6,True,1,0.16666666666666666,0.33333333333333337
109,4,False,0,0.0,0.375
110,3,True,1,0.3333333333333333,0.5555555555555556
111,9,True,5,0.5555555555555556,0.13580246913580246
112,4,True,2,0.5,0.25
113,3,True,1,0.3333333333333333,0.3333333333333333
114,3,True,2,0.6666666666666666,0.3333333333333333
115,12,True,4,0.3333333333333333,0.16666666666666669
116,5,True,1,0.2,0.20000000000000004
117,5,True,3,0.6,0.20000000000000004
118,3,True,1,0.3333333333333333,0.3333333333333333
119,5,True,4,0.8,0.28
120,2,False,0,0.0,1.0
121,12,True,5,0.4166666666666667,0.19444444444444448
122,5,True,3,0.6,0.20000000000000004
123,1,True,1,1.0,1.0
124,4,True,2,0.5,0.5
125,4,True,1,0.25,0.25
126,3,True,3,1.0,0.3333333333333333
127,5,True,4,0.8,0.20000000000000004
128,2,True,1,0.5,0.5
129,4,True,1,0.25,0.375
130,5,True,1,0.2,0.3600000000000001
131,5,True,2,0.4,0.28
132,3,False,0,0.0,0.3333333333333333
133,4,True,1,0.25,0.25
134,4,True,2,0.5,0.25
135,7,True,1,0.14285714285714285,0.22448979591836732
136,3,True,3,1.0,0.5555555555555556
137,4,True,2,0.5,0.375
138,6,True,3,0.5,0.22222222222222227
139,7,True,3,0.42857142857142855,0.14285714285714285
140,6,True,1,0.16666666666666666,0.16666666666666669
141,6,True,2,0.3333333333333333,0.2777777777777778
142,4,True,1,0.25,0.25
143,4,False,0,0.0,0.375
144,2,True,1,0.5,0.5
145,8,True,4,0.5,0.1875
146,5,True,2,0.4,0.3600000000000001
147,2,True,2,1.0,1.0
148,14,True,8,0.5714285714285714,0.12244897959183673
149,14,True,6,0.42857142857142855,0.14285714285714285
150,5,False,0,0.0,0.28
151,5,False,0,0.0,0.28
152,1,False,0,0.0,1.0
153,2,True,2,1.0,0.5
154,6,True,3,0.5,0.16666666666666669
155,6,True,4,0.6666666666666666,0.2777777777777778
156,5,True,2,0.4,0.28
157,6,True,2,0.3333333333333333,0.16666666666666669
158,2,True,2,1.0,0.5
159,3,True,1,0.3333333333333333,0.3333333333333333
160,6,True,4,0.6666666666666666,0.2222222222222222
161,3,True,1,0.3333333333333333,0.3333333333333333
162,5,True,3,0.6,0.28
163,2,True,2,1.0,0.5
164,5,True,2,0.4,0.28
165,6,True,2,0.3333333333333333,0.33333333333333337
166,5,True,1,0.2,0.20000000000000004
167,2,True,1,0.5,0.5
168,3,False,0,0.0,0.3333333333333333
169,1,False,0,0.0,1.0
170,2,False,0,0.0,0.5
171,2,True,2,1.0,0.5
172,3,True,1,0.3333333333333333,0.3333333333333333
173,5,True,2,0.4,0.28
174,7,True,1,0.14285714285714285,0.14285714285714285
175,4,True,2,0.5,0.25
176,8,True,4,0.5,0.15625
177,5,False,0,0.0,0.28
178,22,True,10,0.45454545454545453,0.0743801652892562
179,10,True,2,0.2,0.14
180,5,True,1,0.2,0.20000000000000004
181,2,True,1,0.5,0.5
182,4,True,3,0.75,0.25
183,5,True,2,0.4,0.28
184,5,True,2,0.4,0.20000000000000004
185,4,True,2,0.5,0.25
186,3,True,1,0.3333333333333333,0.3333333333333333
187,20,True,8,0.4,0.12500000000000003
188,3,True,2,0.6666666666666666,0.3333333333333333
189,6,True,3,0.5,0.16666666666666669
190,5,True,2,0.4,0.20000000000000004
191,4,True,4,1.0,0.625
192,7,True,2,0.2857142857142857,0.18367346938775508
193,5,True,3,0.6,0.20000000000000004
194,6,True,3,0.5,0.2222222222222222
195,13,True,8,0.6153846153846154,0.18343195266272191
196,5,False,0,0.0,0.28
197,3,True,2,0.6666666666666666,0.5555555555555556
198,1,True,1,1.0,1.0
199,5,True,3,0.6,0.20000000000000004
200,2,True,1,0.5,0.5
201,5,True,3,0.6,0.20000000000000004
202,4,True,1,0.25,0.25
203,2,True,1,0.5,0.5
204,2,True,1,0.5,0.5
205,5,True,2,0.4,0.28
206,5,True,2,0.4,0.3600000000000001
207,10,True,5,0.5,0.16000000000000003
208,8,True,5,0.625,0.15625
209,4,True,1,0.25,0.375
210,7,True,3,0.42857142857142855,0.18367346938775508
211,5,True,1,0.2,0.20000000000000004
212,8,True,2,0.25,0.15625
213,4,True,1,0.25,0.25
214,2,True,2,1.0,0.5
215,4,True,1,0.25,0.25
216,14,True,4,0.2857142857142857,0.11224489795918366
217,4,True,2,0.5,0.25
218,6,True,3,0.5,0.22222222222222227
219,3,True,1,0.3333333333333333,0.3333333333333333
220,3,True,1,0.3333333333333333,0.3333333333333333
221,6,True,2,0.3333333333333333,0.16666666666666669
222,3,True,2,0.6666666666666666,0.3333333333333333
223,4,True,2,0.5,0.25
224,1,True,1,1.0,1.0
225,4,True,2,0.5,0.25
226,4,True,2,0.5,0.25
227,3,False,0,0.0,0.5555555555555556
228,10,True,5,0.5,0.12000000000000002
229,11,True,2,0.18181818181818182,0.14049586776859505
230,9,True,2,0.2222222222222222,0.16049382716049382
231,7,True,3,0.42857142857142855,0.18367346938775508
232,2,False,0,0.0,0.5
233,4,True,2,0.5,0.25
234,2,True,1,0.5,0.5
235,3,True,2,0.6666666666666666,0.5555555555555556
236,4,True,2,0.5,0.25
237,10,True,4,0.4,0.24000000000000002
238,4,True,3,0.75,0.25
239,8,True,2,0.25,0.1875
240,7,True,1,0.14285714285714285,0.22448979591836732
241,8,True,4,0.5,0.21875
242,3,True,2,0.6666666666666666,0.3333333333333333
243,3,False,0,0.0,0.3333333333333333
244,3,False,0,0.0,0.3333333333333333
245,3,False,0,0.0,0.3333333333333333
246,5,False,0,0.0,0.28
247,6,True,2,0.3333333333333333,0.16666666666666669
248,4,True,1,0.25,0.375
249,2,False,0,0.0,0.5
250,3,True,1,0.3333333333333333,0.3333333333333333
251,10,True,2,0.2,0.22000000000000003
252,8,True,3,0.375,0.21875
253,4,False,0,0.0,0.25
254,9,True,3,0.3333333333333333,0.2839506172839506
255,7,True,3,0.42857142857142855,0.18367346938775508
256,7,True,4,0.5714285714285714,0.26530612244897955
257,5,True,3,0.6,0.20000000000000004
258,2,True,1,0.5,0.5
259,3,False,0,0.0,0.5555555555555556
260,6,True,2,0.3333333333333333,0.22222222222222227
