,Fixed effect,FE lower CI,FE upper CI,n,D_indep,n_indep,share_indep,HHi,var
group90_1,1.9591552283638594,1.9583883833525886,1.9599220733751301,5.0,True,2.0,0.4,0.20000000000000004,0.0011784562185518843
group90_2,1.963376138999459,1.962671195926354,1.964081082072564,5.0,True,1.0,0.2,0.28,0.001591078886480495
group90_3,1.9938696547365653,1.993299400720252,1.9944399087528786,8.0,True,2.0,0.25,0.15625,0.001463654069684188
group90_4,1.9083039103301653,1.906623837087032,1.9099839835732986,1.0,True,1.0,1.0,1.0,0.0
group90_5,1.9705411221246838,1.9697508821445695,1.971331362104798,4.0,True,2.0,0.5,0.25,0.0008681800067978296
group90_6,1.966077798863187,1.9650109512869494,1.9671446464394247,2.0,False,0.0,0.0,0.5,0.0002939932087683668
group90_7,1.967784394763993,1.967030019608343,1.968538769919643,4.0,True,1.0,0.25,0.25,0.000561853208159011
group90_8,1.9701031003096432,1.969428366658215,1.9707778339610713,5.0,True,2.0,0.4,0.28,0.0010200289978436906
group90_9,1.9748728671814428,1.9738060196052052,1.9759397147576805,2.0,False,0.0,0.0,0.5,0.00023018655444432995
group90_10,1.9702310219686783,1.969359944570309,1.9711020993670476,5.0,True,3.0,0.6,0.3600000000000001,0.0008013044233211029
group90_11,1.967820366951298,1.9671456332998698,1.968495100602726,7.0,True,1.0,0.14285714285714285,0.22448979591836732,0.0006667154704217531
group90_12,1.9462708100622266,1.9456302881431466,1.9469113319813065,9.0,True,5.0,0.5555555555555556,0.20987654320987653,0.0014505232593662889
group90_13,1.9485498530233853,1.9480969356309052,1.9490027704158654,13.0,True,2.0,0.15384615384615385,0.242603550295858,0.002292746667393799
group90_14,1.9500237343813096,1.9490124491282037,1.9510350196344155,3.0,True,1.0,0.3333333333333333,0.3333333333333333,0.00025024807009120943
group90_15,1.9785955011548626,1.9781617081087919,1.9790292942009333,15.0,True,4.0,0.26666666666666666,0.18222222222222223,0.004493508056580099
group90_16,1.9780580863536668,1.9774421416183414,1.978674031088992,6.0,False,0.0,0.0,0.3888888888888889,0.0009165253716182377
group90_17,1.9653270109403587,1.9646522772889305,1.9660017445917868,5.0,False,0.0,0.0,0.3600000000000001,0.0005912911145770455
group90_18,1.953667461183036,1.9532642307011026,1.9540706916649695,15.0,True,7.0,0.4666666666666667,0.1377777777777778,0.002925407090058124
group90_19,1.9711572964797492,1.9707023911447568,1.9716122018147417,11.0,True,2.0,0.18181818181818182,0.22314049586776857,0.0027898567782277195
group90_20,1.9584762831001143,1.9578015494486862,1.9591510167515425,6.0,True,1.0,0.16666666666666666,0.16666666666666669,0.0012899474317089302
group90_21,1.9471884920656055,1.9461216444893679,1.9482553396418432,3.0,True,2.0,0.6666666666666666,0.3333333333333333,7.32554989305552e-05
group90_22,1.9630870790062824,1.962471134270957,1.9637030237416078,8.0,True,3.0,0.375,0.25,0.0015753568415407457
group90_23,1.9775246700517257,1.976457822475488,1.9785915176279634,2.0,False,0.0,0.0,0.5,0.00021317329461520302
group90_24,1.974629350736924,1.9735625031606863,1.9756961983131616,2.0,False,0.0,0.0,1.0,1.7085674921681192e-05
group90_25,1.9784323181025827,1.9769235677912824,1.979941068413883,1.0,False,0.0,0.0,1.0,0.0
