location_id,location_count,location_n,first,last,latitude,longitude,street,house_number,post_code,autobahn,bundesstrasse,autohof,brand_id,brand_change,id_data,id_data_updated,update_id,update_seq,wzw_index,wzw_clevertanken,wzw_partner,wzw_verwaltung,wzw_inhaber,munich,group80,group85,group90,verf_inc_pp,density,under_2min_x,under_5min_x,under_10min_x,under_2min_y,under_5min_y,under_10min_y,minim_time_next_x,under_2min,under_5min,under_10min,minim_time_next_y
12307,1,1,2019-01-01,2023-02-28,48.13664245605469,11.5662202835083,josephspitalstrasse,12,80331,0,0,0,agip,,f96b0d2b-c33b-4d8e-a08b-6a9e2f3c657a,f96b0d2b-c33b-4d8e-a08b-6a9e2f3c657a,0,,143445.0,17495.0,ENI,ENI,Eni Deutschland GmbH,1,1,1,1,31917.0,4.7565722,0,4,40,0,4,40,233.3,0,4,40,233.3
12308,1,1,2019-01-01,2023-02-28,48.14937973022461,11.54800510406494,nymphenburger strasse,57-59,80335,0,0,0,shell,,5c97286d-228e-4def-8d30-2c2f63668b92,5c97286d-228e-4def-8d30-2c2f63668b92,0,,144153.0,9621.0,Shell-Tankstellen,Mty Yasar,Mty Yasar GmbH,1,21,16,16,31917.0,4.7565722,0,6,43,0,6,43,178.6,0,6,43,178.6
12309,1,1,2019-01-01,2023-02-27,48.1329460144043,11.58092784881592,baader strasse,6,80469,0,0,0,bk,,41c5eac2-7a17-46d8-90fe-d0a8c56db5fc,41c5eac2-7a17-46d8-90fe-d0a8c56db5fc,0,,150344.0,21709.0,Sonstige-Freie-Tankstellen,Sonstige Tankstellen,IsarParkhaus am Isartorplatz e.K.,1,1,1,1,31917.0,4.7565722,0,4,40,0,4,40,135.2,0,4,40,135.2
12310,1,1,2019-01-01,2023-02-28,48.1238899230957,11.5648307800293,kapuzinerstrasse,46,80469,0,0,0,aral,,fb79c457-543a-4ff6-ba70-cd270ac2110a,fb79c457-543a-4ff6-ba70-cd270ac2110a,0,,146797.0,11161.0,ARAL-Tankstellen,ARAL,Aral Aktiengesellschaft,1,1,1,1,31917.0,4.7565722,0,5,28,0,5,28,205.6,0,5,28,205.6
12311,1,1,2019-01-01,2023-02-28,48.15749740600586,11.5438928604126,leonrodstrasse,48,80636,0,0,0,total,,e4b3161b-269e-41f9-8c56-d813a6733668,e4b3161b-269e-41f9-8c56-d813a6733668,0,,150132.0,18090.0,Total Tankstellen,TOTAL,TOTAL Deutschland GmbH,1,21,16,16,31917.0,4.7565722,1,8,46,1,8,46,109.5,1,8,46,109.5
12312,1,1,2019-01-01,2023-02-28,48.16355514526367,11.53734302520752,landshuter allee,163,80637,0,0,0,aral,,cde32a83-5c45-4797-aea3-5c92c5fc113e,cde32a83-5c45-4797-aea3-5c92c5fc113e,0,,142916.0,5328.0,ARAL-Tankstellen,ARAL,Aral Aktiengesellschaft,1,21,16,16,31917.0,4.7565722,0,4,36,0,4,36,181.9,0,4,36,181.9
12313,1,1,2019-01-01,2023-02-28,48.16008758544922,11.51180362701416,menzinger strasse,10,80638,0,0,0,shell,,7b2fc7a4-f619-4994-aa91-ce5d880899e0,7b2fc7a4-f619-4994-aa91-ce5d880899e0,0,,149546.0,9627.0,Shell-Tankstellen,Richard Halter,Richard Halter GmbH,1,22,17,17,31917.0,4.7565722,0,10,45,0,10,45,142.0,0,10,45,142.0
12314,1,1,2019-01-01,2023-02-28,48.15233612060547,11.51424694061279,arnulfstrasse,279,80639,0,0,0,esso,,417b06c4-5041-4e85-9227-8c9694ca9fb9,417b06c4-5041-4e85-9227-8c9694ca9fb9,0,,143794.0,17037.0,Esso-Tankstellen,ROC,Retail Operating Company Deutschland GmbH,1,22,17,17,31917.0,4.7565722,1,3,34,1,3,34,89.1,1,3,34,89.1
12315,1,1,2019-01-01,2023-02-28,48.15773010253906,11.52827262878418,nymphenburger strasse,205,80639,0,0,0,aral,,54653788-7857-4a91-baf7-7e58a8145224,54653788-7857-4a91-baf7-7e58a8145224,0,,149432.0,5334.0,ARAL-Tankstellen,ARAL,Aral Aktiengesellschaft,1,21,16,16,31917.0,4.7565722,0,7,40,0,7,40,197.3,0,7,40,197.3
12316,1,1,2019-01-01,2023-02-10,48.14895248413086,11.51995086669922,wilhelm hale strasse,55,80639,0,0,0,shell,,5342d82a-fefd-44c8-a59d-be8111fdb867,5342d82a-fefd-44c8-a59d-be8111fdb867,0,,150140.0,9607.0,Shell-Tankstellen,Shell Deutschland,Thomas Bauch GmbH,1,22,17,17,31917.0,4.7565722,0,7,36,0,7,36,169.0,0,7,36,169.0
